domain,config_name,start_url,date,brand,url,reference_code,image_url,id,list,brand.1,category,currency,price,name,variant,reference,collection,productMaterialStrap,productSpecialEdition,size,isAvailable,isSellable,Exchange Rate,price_eur
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01543-submersible-quarantaquattro-luna-rossa-ti-ceramitech.html,PNPAM01543,,PAM01543,Submersible,PANERAI,Watch,GBP,14300,PNPAM01543 - Submersible QuarantaQuattro Luna Rossa Ti-Ceramitech™,None - Dark blue,PAM01543,Submersible,,False,44mm,True,True,0.8312,17204.042348411935
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01466-submersible-quarantaquattro-luna-rossa-ti-ceramitech.html,PNPAM01466,,PAM01466,Submersible,PANERAI,Watch,GBP,14300,PNPAM01466 - Submersible QuarantaQuattro Luna Rossa Ti-Ceramitech™,None - Dark blue,PAM01466,Submersible,,False,44mm,True,True,0.8312,17204.042348411935
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01513-submersible-quarantaquattro-gmt-navy-seals-carbotech.html,PNPAM01513,,PAM01513,Submersible,PANERAI,Watch,GBP,17000,PNPAM01513 - Submersible QuarantaQuattro GMT Navy SEALs Carbotech™,None - Black,PAM01513,Submersible,,False,44mm,True,True,0.8312,20452.358036573627
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01232-submersible-quarantaquattro-carbotech.html,PNPAM01232,,PAM01232,Submersible,PANERAI,Watch,GBP,16000,PNPAM01232 - Submersible QuarantaQuattro Carbotech™,None - Dark blue,PAM01232,Submersible,,False,44mm,True,True,0.8312,19249.278152069295
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01405-submersible-tourbillon-gmt-luna-rossa-experience-editio.html,PNPAM01405,,PAM01405,Submersible,PANERAI,Watch,GBP,134300,PNPAM01405 - Submersible Tourbillon GMT Luna Rossa Experience Edition,None - Black,PAM01405,Submersible,,True,45mm,False,True,0.8312,161573.62848893166
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01241-submersible-s-brabus-blue-shadow-edition.html,PNPAM01241,,PAM01241,Submersible,PANERAI,Watch,GBP,35900,PNPAM01241 - Submersible S Brabus Blue Shadow Edition,Tone on Tone - Black,PAM01241,Submersible,Tone on Tone,True,47mm,False,True,0.8312,43190.567853705485
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01403-submersible-s-brabus.html,PNPAM01403,,PAM01403,Submersible,PANERAI,Watch,GBP,35900,PNPAM01403 - Submersible S Brabus,Tone on Tone - Black,PAM01403,Submersible,Tone on Tone,True,47mm,False,True,0.8312,43190.567853705485
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01283-submersible-s-brabus-carbotech.html,PNPAM01283,,PAM01283,Submersible,PANERAI,Watch,GBP,35900,PNPAM01283 - Submersible S Brabus Carbotech™,Tone on Tone - Black,PAM01283,Submersible,Tone on Tone,True,47mm,False,True,0.8312,43190.567853705485
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam02305-submersible-titanio.html,PNPAM02305,,PAM02305,Submersible,PANERAI,Watch,GBP,9200,PNPAM02305 - Submersible Titanio,Black - NON APPLICABLE,PAM02305,Submersible,Black,False,47mm,True,True,0.8312,11068.334937439846
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam02692-submersible-bmg-tech.html,PNPAM02692,,PAM02692,Submersible,PANERAI,Watch,GBP,12800,PNPAM02692 - Submersible BMG-TECH™,Black - NON APPLICABLE,PAM02692,Submersible,Black,False,47mm,True,True,0.8312,15399.422521655437
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01669-submersible-navy-seals-titanio.html,PNPAM01669,,PAM01669,Submersible,PANERAI,Watch,GBP,11800,PNPAM01669 - Submersible Navy SEALs Titanio,Black - NON APPLICABLE,PAM01669,Submersible,Black,False,47mm,True,True,0.8312,14196.342637151107
