domain,config_name,start_url,date,brand,url,reference_code,image_url,id,list,brand,category,currency,price,name,variant,reference,collection,productMaterialStrap,productSpecialEdition,size,isAvailable,isSellable
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam02683-submersible.html,PNPAM02683,"https://www.panerai.com/content/dam/rcq/pan/18/18/97/9/1818979.png.transform.global_square_image_960.png, /content/dam/rcq/pan/18/18/97/9/1818979.png.transform.global_square_image_960_2x.png 2x",PAM02683,Submersible,PANERAI,Watch,EUR,10700,Submersible,Noir - NON APPLICABLE,PAM02683,Submersible,Noir,FALSE,42mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam02068-submersible.html,PNPAM02068,"https://www.panerai.com/content/dam/rcq/pan/21/69/21/9/2169219.png.transform.global_square_image_960.png, /content/dam/rcq/pan/21/69/21/9/2169219.png.transform.global_square_image_960_2x.png 2x",PAM02068,Submersible,PANERAI,Watch,EUR,11900,Submersible, - ,PAM02068,Submersible,,FALSE,42mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01595-submersible-quarantaquattro.html,PNPAM01595,"https://www.panerai.com/content/dam/rcq/pan/23/07/81/8/2307818.png.transform.global_square_image_960.png, /content/dam/rcq/pan/23/07/81/8/2307818.png.transform.global_square_image_960_2x.png 2x",PAM01595,Submersible,PANERAI,Watch,EUR,10100,Submersible QuarantaQuattro,Aucun - ,PAM01595,Submersible,Aucun,FALSE,44mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01596-submersible-quarantaquattro.html,PNPAM01596,"https://www.panerai.com/content/dam/rcq/pan/23/07/80/5/2307805.png.transform.global_square_image_960.png, /content/dam/rcq/pan/23/07/80/5/2307805.png.transform.global_square_image_960_2x.png 2x",PAM01596,Submersible,PANERAI,Watch,EUR,10100,Submersible QuarantaQuattro,Aucun - Noir,PAM01596,Submersible,Aucun,FALSE,44mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01518-submersible-quarantaquattro-navy-seals.html,PNPAM01518,"https://www.panerai.com/content/dam/rcq/pan/53/Ce/sO/YW/QY/Cr/aG/cl/ou/M0/8w/53CesOYWQYCraGclouM08w.png.transform.global_square_image_960.png, /content/dam/rcq/pan/53/Ce/sO/YW/QY/Cr/aG/cl/ou/M0/8w/53CesOYWQYCraGclouM08w.png.transform.global_square_image_960_2x.png 2x",PAM01518,Submersible,PANERAI,Watch,EUR,10400,Submersible QuarantaQuattro Navy SEALs,Aucun - Noir,PAM01518,Submersible,Aucun,FALSE,44mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01323-submersible-gmt-navy-seals.html,PNPAM01323,"https://www.panerai.com/content/dam/rcq/pan/OF/3s/mc/4x/ak/yn/Xt/dj/Pf/WK/Ug/OF3smc4xakynXtdjPfWKUg.png.transform.global_square_image_960.png, /content/dam/rcq/pan/OF/3s/mc/4x/ak/yn/Xt/dj/Pf/WK/Ug/OF3smc4xakynXtdjPfWKUg.png.transform.global_square_image_960_2x.png 2x",PAM01323,Submersible,PANERAI,Watch,EUR,11300,Submersible GMT Navy SEALs,Aucun - Noir,PAM01323,Submersible,Aucun,FALSE,44mm,FALSE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01676-submersible-quarantaquattro-mike-horn.html,PNPAM01676,"https://www.panerai.com/content/dam/rcq/pan/89/89/HP/c4/SJ/iH/ql/xv/oC/yq/hA/8989HPc4SJiHqlxvoCyqhA.png.transform.global_square_image_960.png, /content/dam/rcq/pan/89/89/HP/c4/SJ/iH/ql/xv/oC/yq/hA/8989HPc4SJiHqlxvoCyqhA.png.transform.global_square_image_960_2x.png 2x",PAM01676,Submersible,PANERAI,Watch,EUR,12100,Submersible QuarantaQuattro Mike Horn ,Aucun - Bleu foncé,PAM01676,Submersible,Aucun,FALSE,44mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01681-submersible-quarantaquattro-luna-rossa.html,PNPAM01681,"https://www.panerai.com/content/dam/rcq/pan/Ws/BB/_-/CW/TR/2x/ZI/h7/1h/Z9/_w/WsBB_-CWTR2xZIh71hZ9_w.png.transform.global_square_image_960.png, /content/dam/rcq/pan/Ws/BB/_-/CW/TR/2x/ZI/h7/1h/Z9/_w/WsBB_-CWTR2xZIh71hZ9_w.png.transform.global_square_image_960_2x.png 2x",PAM01681,Submersible,PANERAI,Watch,EUR,12300,Submersible QuarantaQuattro Luna Rossa,Aucun - Noir,PAM01681,Submersible,Aucun,TRUE,44mm,FALSE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01288-submersible-quarantaquattro-grigio-roccia.html,PNPAM01288,"https://www.panerai.com/content/dam/rcq/pan/23/07/86/7/2307867.png.transform.global_square_image_960.png, /content/dam/rcq/pan/23/07/86/7/2307867.png.transform.global_square_image_960_2x.png 2x",PAM01288,Submersible,PANERAI,Watch,EUR,11800,Submersible QuarantaQuattro Grigio Roccia,Gris foncé - Gris,PAM01288,Submersible,Gris foncé,FALSE,44mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01289-submersible-quarantaquattro-blu-profondo.html,PNPAM01289,"https://www.panerai.com/content/dam/rcq/pan/23/07/86/8/2307868.png.transform.global_square_image_960.png, /content/dam/rcq/pan/23/07/86/8/2307868.png.transform.global_square_image_960_2x.png 2x",PAM01289,Submersible,PANERAI,Watch,EUR,11800,Submersible QuarantaQuattro Blu Profondo,Bleu - Bleu,PAM01289,Submersible,Bleu,FALSE,44mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01287-submersible-quarantaquattro-verde-smeraldo.html,PNPAM01287,"https://www.panerai.com/content/dam/rcq/pan/23/07/85/6/2307856.png.transform.global_square_image_960.png, /content/dam/rcq/pan/23/07/85/6/2307856.png.transform.global_square_image_960_2x.png 2x",PAM01287,Submersible,PANERAI,Watch,EUR,11800,Submersible QuarantaQuattro Verde Smeraldo,Ton sur Ton - ,PAM01287,Submersible,Ton sur Ton,FALSE,44mm,TRUE,TRUE
